# 2023-09-28T16:39:49 (5.000000,5.000000)
geo lon (deg), geo lat (deg), alt (km), mag lon (deg), mag lat (deg)
85.000000,-85.000000,80.000000,33.787800,-77.740242
90.000000,-85.000000,80.000000,32.602783,-78.079552
95.000000,-85.000000,80.000000,31.206560,-78.391014
100.000000,-85.000000,80.000000,29.603161,-78.669403
105.000000,-85.000000,80.000000,27.803802,-78.909714
110.000000,-85.000000,80.000000,25.828081,-79.107208
115.000000,-85.000000,80.000000,23.704184,-79.257690
120.000000,-85.000000,80.000000,21.468859,-79.357674
125.000000,-85.000000,80.000000,19.165993,-79.404686
130.000000,-85.000000,80.000000,16.843861,-79.397423
135.000000,-85.000000,80.000000,14.552256,-79.335869
140.000000,-85.000000,80.000000,12.339002,-79.221230
145.000000,-85.000000,80.000000,10.247088,-79.055862
150.000000,-85.000000,80.000000,8.312078,-78.843155
155.000000,-85.000000,80.000000,6.560959,-78.587257
160.000000,-85.000000,80.000000,5.011922,-78.292763
165.000000,-85.000000,80.000000,3.674941,-77.964645
170.000000,-85.000000,80.000000,2.552232,-77.608055
175.000000,-85.000000,80.000000,1.640529,-77.228035
-180.000000,-80.000000,80.000000,-21.940069,-77.514069
-175.000000,-80.000000,80.000000,-21.500792,-76.654152
-170.000000,-80.000000,80.000000,-20.805655,-75.803444
-165.000000,-80.000000,80.000000,-19.902475,-74.966202
-160.000000,-80.000000,80.000000,-18.829121,-74.146080
-155.000000,-80.000000,80.000000,-17.615973,-73.346283
-150.000000,-80.000000,80.000000,-16.287619,-72.569687
-145.000000,-80.000000,80.000000,-14.863969,-71.819000
-140.000000,-80.000000,80.000000,-13.361424,-71.096725
-135.000000,-80.000000,80.000000,-11.793617,-70.405312
-130.000000,-80.000000,80.000000,-10.172342,-69.747124
-125.000000,-80.000000,80.000000,-8.506598,-69.124474
-120.000000,-80.000000,80.000000,-6.804214,-68.539612
-115.000000,-80.000000,80.000000,-5.071571,-67.994720
-110.000000,-80.000000,80.000000,-3.314178,-67.491920
-105.000000,-80.000000,80.000000,-1.536116,-67.033211
-100.000000,-80.000000,80.000000,0.259724,-66.620346
-95.000000,-80.000000,80.000000,2.071062,-66.254913
-90.000000,-80.000000,80.000000,3.896248,-65.938179
-85.000000,-80.000000,80.000000,5.734058,-65.671196
-80.000000,-80.000000,80.000000,7.584393,-65.454475
-75.000000,-80.000000,80.000000,9.447030,-65.288216
-70.000000,-80.000000,80.000000,11.322080,-65.172173
