# 2023-05-18T17:50:50
geo lon (deg), geo lat (deg), alt (km), mag lon (deg), mag lat (deg)
100.0, -80.0, 500.0, 50.84925079345703, -82.95020294189453
105.0, -80.0, 500.0, 46.77892303466797, -83.62350463867188
110.0, -80.0, 500.0, 41.264766693115234, -84.20916748046875
115.0, -80.0, 500.0, 34.15227508544922, -84.67111206054688
120.0, -80.0, 500.0, 25.559213638305664, -84.96946716308594
125.0, -80.0, 500.0, 16.044008255004883, -85.07066345214844
130.0, -80.0, 500.0, 6.542145729064941, -84.96102905273438
135.0, -80.0, 500.0, -2.0135462284088135, -84.65362548828125
140.0, -80.0, 500.0, -9.070263862609863, -84.18141174316406
145.0, -80.0, 500.0, -14.515178680419922, -83.58358001708984
150.0, -80.0, 500.0, -18.505847930908203, -82.89562225341797
155.0, -80.0, 500.0, -21.293535232543945, -82.14566802978516
160.0, -80.0, 500.0, -23.125356674194336, -81.35482788085938
165.0, -80.0, 500.0, -24.2091007232666, -80.53864288330078
170.0, -80.0, 500.0, -24.708518981933594, -79.70867156982422
175.0, -80.0, 500.0, -24.74937629699707, -78.8736572265625
-180.0, -75.0, 500.0, -46.31025695800781, -76.58050537109375
-175.0, -75.0, 500.0, -43.70890426635742, -75.48927307128906
-170.0, -75.0, 500.0, -41.10948944091797, -74.4251937866211
-165.0, -75.0, 500.0, -38.513694763183594, -73.39009094238281
-160.0, -75.0, 500.0, -35.92326354980469, -72.38580322265625
-155.0, -75.0, 500.0, -33.339996337890625, -71.41419219970703
-150.0, -75.0, 500.0, -30.76575469970703, -70.47720336914062
-145.0, -75.0, 500.0, -28.202423095703125, -69.57686614990234
-140.0, -75.0, 500.0, -25.6518497467041, -68.7153091430664
-135.0, -75.0, 500.0, -23.115787506103516, -67.8947982788086
-130.0, -75.0, 500.0, -20.595800399780273, -67.11773681640625
-125.0, -75.0, 500.0, -18.093170166015625, -66.38664245605469
-120.0, -75.0, 500.0, -15.60878849029541, -65.70413970947266
-115.0, -75.0, 500.0, -13.143062591552734, -65.0728988647461
-110.0, -75.0, 500.0, -10.695823669433594, -64.49560546875
-105.0, -75.0, 500.0, -8.266255378723145, -63.97484588623047
-100.0, -75.0, 500.0, -5.852851867675781, -63.51302719116211
-95.0, -75.0, 500.0, -3.4534049034118652, -63.11227798461914
-90.0, -75.0, 500.0, -1.0650293827056885, -62.77433395385742
-85.0, -75.0, 500.0, 1.3157671689987183, -62.50043487548828
-80.0, -75.0, 500.0, 3.6929774284362793, -62.291221618652344
-75.0, -75.0, 500.0, 6.070946216583252, -62.14668273925781
-70.0, -75.0, 500.0, 8.454188346862793, -62.06609344482422
-65.0, -75.0, 500.0, 10.847179412841797, -62.04801559448242
-60.0, -75.0, 500.0, 13.254132270812988, -62.090335845947266
-55.0, -75.0, 500.0, 15.678766250610352, -62.19032669067383
-50.0, -75.0, 500.0, 18.124094009399414, -62.34476852416992
-45.0, -75.0, 500.0, 20.59222984313965, -62.55009078979492
-40.0, -75.0, 500.0, 23.084243774414062, -62.80253601074219
